City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Belmonte,BR,70.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
249,Praia Da Vitoria,PT,66.76,few clouds,38.7333,-27.0667,Hotel Branco I
252,Taltal,CL,63.88,scattered clouds,-25.4,-70.4833,Residencial Karime
253,Mbalmayo,CM,67.91,broken clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
254,Pombas,CV,73.18,overcast clouds,17.1503,-25.0201,Paul Paradis
260,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
262,Mahon,ES,55.96,clear sky,39.8885,4.2658,ARTIEM Capri
267,Tikapur,NP,67.03,clear sky,28.5,81.1333,BANANA AGRO RESORT
274,Camana,PE,65.95,broken clouds,-16.6228,-72.7111,Hostal Morales
276,Toamasina,MG,69.8,scattered clouds,-18.1667,49.3833,Hotel H1
278,Myanaung,MM,73.33,scattered clouds,18.2833,95.3167,Taung Hlay Khar
279,Kadoma,JP,55.38,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
284,Caravelas,BR,72.7,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
285,Moyale,KE,69.8,overcast clouds,3.5167,39.0584,La Tahzan Guest House
286,Tukrah,LY,69.82,clear sky,32.5341,20.5791,Lagrota restaurant
287,Dong Hoi,VN,69.91,overcast clouds,17.4833,106.6,Nam Long Hotel
288,Nieves,PH,74.43,overcast clouds,15.3274,120.9485,Bill's Inn
292,Seminole,US,69.01,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
296,Bedesa,ET,62.69,broken clouds,8.9,40.7833,
298,Sao Joao Da Barra,BR,68.74,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
299,Dehloran,IR,69.82,overcast clouds,32.6941,47.2679,کافه گیم استورم
303,Langsa,ID,74.88,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
312,Scottsbluff,US,66.63,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
315,Avera,US,62.47,clear sky,33.194,-82.5271,
320,Christchurch,NZ,68.2,broken clouds,-43.5333,172.6333,The George
324,Suez,EG,69.21,scattered clouds,29.9737,32.5263,Green House
325,Bengkulu,ID,74.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
338,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
341,Constitucion,CL,58.24,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
344,Flinders,AU,60.8,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
350,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
351,Russell,US,61.88,clear sky,32.3502,-85.1999,Macs
352,Key Largo,US,73.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
353,Naze,JP,61.72,overcast clouds,28.3667,129.4833,Shishime Hotel
356,Soavinandriana,MG,63.59,overcast clouds,-19.1667,46.7333,
359,Buraydah,SA,68.45,overcast clouds,26.326,43.975,فندق راحة السلام
367,Santa Catarina De Tepehuanes,MX,70.48,few clouds,25.35,-105.7333,hotel plaza
368,Moree,AU,66.22,clear sky,-29.4667,149.85,Molika Springs Motel
375,Jijiga,ET,61.75,few clouds,9.35,42.8,RAMAAS HOTEL
377,Diego De Almagro,CL,74.37,clear sky,-26.3667,-70.05,hotel luna del desierto
390,Ampanihy,MG,67.96,broken clouds,-24.7,44.75,Angora Hotel
394,Itoman,JP,68.02,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
396,San Lucas,MX,74.16,broken clouds,16.6,-92.7167,"Posada "" El rapidin"""
398,Adeje,ES,67.08,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
399,Saiha,IN,66.54,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
400,Colares,PT,61.32,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
401,Poli,TZ,60.84,overcast clouds,-3.3333,36.8,Urafiki House
402,Lakhnadon,IN,61.12,clear sky,22.6,79.6,HOTEL PRIDE
403,Gat,IL,70.92,scattered clouds,31.61,34.7642,OlusHome
408,Port Lincoln,AU,56.79,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
409,Naspur,IN,73.99,few clouds,18.8333,79.45,Hotel Vaibhav
410,Cangucu,BR,64.85,light rain,-31.395,-52.6756,Compacto 2D Centro Canela
412,Antalaha,MG,71.96,clear sky,-14.9003,50.2788,Hotel Vitasoa
415,Marsa Matruh,EG,67.71,scattered clouds,31.3525,27.2453,Beau Site
419,Marrakesh,MA,60.87,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
420,Kango,GA,71.98,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
421,Porto Santo,PT,66.58,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
422,Yokadouma,CM,70.0,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
425,Chicama,PE,63.14,few clouds,-7.8447,-79.1469,Balihai Bungalows
427,Ambam,CM,67.8,broken clouds,2.3833,11.2833,Escapade De La Vallée
432,Paidha,UG,61.95,light rain,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
433,Kirkuk,IQ,61.77,overcast clouds,35.4681,44.3922,تل عبدالعزيز
434,Rudsar,IR,55.8,scattered clouds,37.1376,50.288,Hotel Bahar
435,Hualmay,PE,67.71,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
437,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
439,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
440,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
442,Moerai,PF,71.1,moderate rain,-22.4333,-151.3333,Le Manotel
444,Chapada Dos Guimaraes,BR,69.46,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
445,Ilhabela,BR,69.03,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
446,Lat Yao,TH,71.62,broken clouds,15.751,99.7893,หจก. ลาดยาวการเกษตร
455,Baker City,US,59.83,clear sky,44.7749,-117.8344,Bridge Street Inn
456,Willowmore,ZA,65.52,overcast clouds,-33.2926,23.4895,Jumper's Place
461,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
462,Beloha,MG,68.85,overcast clouds,-25.1667,45.05,
464,Coromandel,BR,64.49,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
465,Sampit,ID,73.49,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
466,Waitara,NZ,64.72,scattered clouds,-38.925,174.25,
469,Ibicarai,BR,69.78,light rain,-14.865,-39.5875,Pousada Patioba
474,Bahia Blanca,AR,71.53,clear sky,-38.7196,-62.2724,Hotel Argos
476,Boende,CD,72.81,broken clouds,-0.2167,20.8667,
481,Fort Morgan,US,69.8,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
483,Wilmington,US,60.71,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
487,Ahipara,NZ,67.03,clear sky,-35.1667,173.1667,Ahipara Holiday Park
497,Kruisfontein,ZA,58.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
500,Zhanjiang,CN,67.14,overcast clouds,21.2815,110.3427,创业旅店
505,Hinganghat,IN,71.64,scattered clouds,20.5667,78.8333,RuPeSH MeNDHe ReSiDeNCe.
509,Spring Hill,US,64.81,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
515,El Tocuyo,VE,69.66,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
516,Tome,CL,59.61,broken clouds,-36.6167,-72.95,Dichato habitaciones
527,Susanville,US,66.81,clear sky,40.4163,-120.653,Comfort Inn & Suites
531,Adre,TD,74.73,clear sky,13.4667,22.2,
544,Rabat,MA,57.27,fog,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
559,Prabumulih,ID,74.19,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
560,Payo,ID,73.44,overcast clouds,-3.7508,103.6372,Mess keban agung
563,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
564,Ilebo,CD,69.62,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
565,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
567,Dezful,IR,68.22,overcast clouds,32.3811,48.4058,سالن پیرایش امید
568,Tres Arroyos,AR,70.74,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
571,Fortuna,US,62.85,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
572,Abnub,EG,69.35,clear sky,27.2696,31.1511,Romany Adly Gad
577,Canavieiras,BR,69.76,light rain,-15.675,-38.9472,Bahiadomizil
580,Deshnok,IN,70.36,clear sky,27.7986,73.3447,Royal Karni palace
582,Reitz,ZA,56.73,few clouds,-27.8014,28.4273,The Lillies Guesthouse
583,Torata,PE,62.02,few clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
588,Abu Road,IN,67.19,clear sky,24.4833,72.7833,Private Room In the Heart of the city.
597,Keningau,MY,72.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
598,Jabinyanah,TN,60.6,clear sky,35.035,10.9081,maison belmabrouk
601,Ryotsu,JP,55.36,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
610,Mut,TR,57.49,broken clouds,36.6439,33.4389,Konak Otel
611,Shimoda,JP,58.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
617,Yangambi,CD,70.39,light rain,0.8102,24.4336,
618,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Punto de encuentro
620,Nalut,LY,59.77,clear sky,30.3333,10.85,
621,Antofagasta,CL,61.88,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
624,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
627,Ierapetra,GR,63.14,scattered clouds,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
628,Port Hedland,AU,73.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
631,Khandbari,NP,56.21,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
635,Miramar,US,75.0,overcast clouds,25.9873,-80.2323,Miramar
637,Lathi,IN,70.5,few clouds,21.7167,71.3833,Mama hotel (Cha nasta centre)
638,Ngunguru,NZ,70.65,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
641,Riyadh,SA,60.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
642,Venado Tuerto,AR,71.76,clear sky,-33.7456,-61.9688,Hotel - Miro Park
643,Gerash,IR,63.82,few clouds,27.6652,54.1371,Sa'adat House
646,Houma,US,70.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
649,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
654,Namibe,AO,70.75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
655,Sembe,CG,69.03,broken clouds,1.6481,14.5806,
660,Eresos,GR,58.64,broken clouds,39.1667,25.9333,Studio Aspa
665,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
